Date,Value
2017-08-31,0.040473840078973
2017-07-31,0.045049504950495
2017-06-30,0.055832502492522
2017-05-31,0.073832245102963
2017-04-30,0.084720121028744
2017-03-31,0.076651538073626
2017-02-28,0.062152602324406
2017-01-31,0.053670886075949
2016-12-31,0.048028311425683
2016-11-30,0.040322580645161
2016-10-31,0.028140703517588
2016-09-30,0.017017017017017
2016-08-31,0.011482775836246
2016-07-31,0.0069790628115653
2016-06-30,0.00099800399201597
2016-05-31,-0.0049975012493753
2016-04-30,-0.0099850224663005
2016-03-31,-0.0094905094905095
2016-02-29,-0.0070245860511791
2016-01-31,-0.0060392551585305
2015-12-31,-0.0080240722166499
2015-11-30,-0.008991008991009
2015-10-31,-0.005994005994006
2015-09-30,-0.00050025012506253
2015-08-31,0.0004995004995005
2015-07-31,0.00049875311720698
2015-06-30,-0.0024888003982081
2015-05-31,-0.0059612518628912
2015-04-30,-0.0064484126984127
2015-03-31,-0.0069444444444444
2015-02-28,-0.01140873015873
2015-01-31,-0.016336633663366
2014-12-31,-0.014335145823035
2014-11-30,-0.009891196834817
2014-10-31,-0.0064516129032258
2014-09-30,-0.0054726368159204
2014-08-31,-0.0064516129032258
2014-07-31,-0.0098765432098765
2014-06-30,-0.0074110671936759
2014-05-31,-0.00099255583126551
2014-04-30,0.0049850448654038
2014-03-31,0.006993006993007
2014-02-28,0.006993006993007
2014-01-31,0.010505252626313
2013-12-31,0.017094017094017
2013-11-30,0.018126888217523
2013-10-31,0.012054244098443
2013-09-30,0.0090361445783132
2013-08-31,0.01664984863774
2013-07-31,0.030534351145038
2013-06-30,0.037948717948718
2013-05-31,0.03812467800103
2013-04-30,0.036692506459948
2013-03-31,0.037305699481865
2013-02-28,0.036768513723459
2013-01-31,0.027235354573484
2012-12-31,0.015832482124617
2012-11-30,0.013782542113323
2012-10-31,0.013747454175153
2012-09-30,0.0091185410334346
2012-08-31,0.0015159171298636
2012-07-31,-0.010574018126888
2012-06-30,-0.024512256128064
2012-05-31,-0.03288490284006
2012-04-30,-0.037792143212332
2012-03-31,-0.045971329708354
2012-02-29,-0.052502453385672
2012-01-31,-0.052118850462738
2011-12-31,-0.052733430091921
2011-11-30,-0.055448408871745
2011-10-31,-0.049370764762827
2011-09-30,-0.042677012609117
2011-08-31,-0.041182170542636
2011-07-31,-0.037790697674419
2011-06-30,-0.033365570599613
2011-05-31,-0.035559827006247
2011-04-30,-0.038718929254302
2011-03-31,-0.033906399235912
2011-02-28,-0.030447193149382
2011-01-31,-0.010125361620058
2010-12-31,0.022761009401286
2010-11-30,0.039078156312625
2010-10-31,0.026328862394436
2010-09-30,0.017266896891959
2010-08-31,0.012757605495584
2010-07-31,0.008304836345872
2010-06-30,0.0063260340632603
2010-05-31,0.011175898931001
2010-04-30,0.014057198254968
2010-03-31,0.011105746016417
2010-02-28,0.013989387361312
2010-01-31,-0.0057526366251199
2009-12-31,-0.043087121212121
2009-11-30,-0.060263653483992
2009-10-31,-0.050023596035866
2009-09-30,-0.044318717586044
2009-08-31,-0.040941176470588
2009-07-31,-0.034889203206035
2009-06-30,-0.026066350710901
2009-05-31,-0.018129770992366
2009-04-30,-0.0081730769230769
2009-03-31,-0.0019277108433735
2009-02-28,-0.0048007681228997
2009-01-31,-0.002868068833652
2008-12-31,0.0095602294455067
2008-11-30,0.015781922525108
2008-10-31,0.011938872970392
2008-09-30,0.0095192765349833
2008-08-31,0.01142313184198
2008-07-31,0.013377926421405
2008-06-30,0.013935607880826
2008-05-31,0.012071463061323
2008-04-30,0.0067763794772507
2008-03-31,0.0077707625060709
2008-02-29,0.01708984375
2008-01-31,0.025490196078431
2007-12-31,0.025993133889161
2007-11-30,0.023494860499266
2007-10-31,0.025465230166503
2007-09-30,0.031925343811395
2007-08-31,0.033448106246926
2007-07-31,0.029006882989184
2007-06-30,0.021600392734413
2007-05-31,0.015693967631192
2007-04-30,0.013738959764475
2007-03-31,0.018298714144412
2007-02-28,0.028628829733802
2007-01-31,0.036585365853658
2006-12-31,0.038187372708758
2006-11-30,0.045547594677584
2006-10-31,0.056389032591826
2006-09-30,0.066526977475118
2006-08-31,0.078514588859417
2006-07-31,0.081914893617021
2006-06-30,0.076638477801269
2006-05-31,0.072593371909521
2006-04-30,0.072067332982641
2006-03-31,0.064210526315789
2006-02-28,0.047894736842105
2006-01-31,0.035244608100999
2005-12-31,0.033684210526316
2005-11-30,0.030047443331576
2005-10-31,0.02492046659597
2005-09-30,0.022495982860203
2005-08-31,0.018918918918919
2005-07-31,0.027884089666484
2005-06-30,0.049944506104328
2005-05-31,0.067377877596856
2005-04-30,0.074011299435028
2005-03-31,0.078320090805902
2005-02-28,0.083238312428734
2005-01-31,0.087528604118993
2004-12-31,0.091326823664561
2004-11-30,0.094002306805075
2004-10-31,0.090803932909196
2004-09-30,0.080439814814815
2004-08-31,0.069982648930017
2004-07-31,0.057836899942163
2004-06-30,0.042824074074074
2004-05-31,0.031268094962362
2004-04-30,0.026682134570766
2004-03-31,0.02263493905978
2004-02-29,0.0162224797219
2004-01-31,0.015098722415796
2003-12-31,0.016939252336449
2003-11-30,0.018801410105758
2003-10-31,0.017657445556209
2003-09-30,0.018267530936948
2003-08-31,0.020058997050147
2003-07-31,0.023076923076923
2003-06-30,0.025519287833828
2003-05-31,0.028588445503276
2003-04-30,0.029868578255675
2003-03-31,0.030502392344498
2003-02-28,0.031063321385902
2003-01-31,0.028059701492537
2002-12-31,0.022089552238806
2002-11-30,0.01430274135876
2002-10-31,0.0095068330362448
2002-09-30,0.0029550827423168
2002-08-31,-0.0017667844522968
2002-07-31,-0.0052972336668629
2002-06-30,-0.0076560659599529
2002-05-31,-0.01002358490566
2002-04-30,-0.011806375442739
2002-03-31,-0.013569321533923
2002-02-28,-0.0094674556213018
2002-01-31,-0.0029761904761905
2001-12-31,0.0017942583732057
2001-11-30,0.0078078078078078
2001-10-31,0.018148820326679
2001-09-30,0.032967032967033
2001-08-31,0.043638598647818
2001-07-31,0.04747225647349
2001-06-30,0.050092764378479
2001-05-31,0.054070851460535
2001-04-30,0.060075093867334
2001-03-31,0.066037735849057
2001-02-28,0.065573770491803
2001-01-31,0.05993690851735
2000-12-31,0.055555555555556
2000-11-30,0.049810844892812
2000-10-31,0.040931989924433
2000-09-30,0.031486146095718
2000-08-31,0.027795325331649
2000-07-31,0.031150667514304
2000-06-30,0.034548944337812
2000-05-31,0.03339755940912
2000-04-30,0.026332691072575
2000-03-31,0.022508038585209
2000-02-29,0.023225806451613
2000-01-31,0.027219701879456
1999-12-31,0.030579050097593
1999-11-30,0.037279267495095
1999-10-31,0.04404996712689
1999-09-30,0.048184818481848
1999-08-31,0.043506921555702
1999-07-31,0.032829940906106
1999-06-30,0.022236756049706
1999-05-31,0.017647058823529
1999-04-30,0.017647058823529
1999-03-31,0.02437417654809
1999-02-28,0.033333333333333
1999-01-31,0.03835800807537
1998-12-31,0.039918809201624
1998-11-30,0.037313432835821
1998-10-31,0.032586558044807
1998-09-30,0.031313818924438
1998-08-31,0.041180507892931
1998-07-31,0.055440055440055
1998-06-30,0.06848357791754
1998-05-31,0.075949367088608
1998-04-30,0.08433734939759
1998-03-31,0.081967213114754
1998-02-28,0.072961373390558
1998-01-31,0.063707945597709
1997-12-31,0.06025824964132
1997-11-30,0.064259927797834
1997-10-31,0.072833211944647
1997-09-30,0.072262773722628
1997-08-31,0.061953352769679
1997-07-31,0.051749271137026
1997-06-30,0.047584187408492
1997-05-31,0.047128129602356
1997-04-30,0.044411547002221
